2025-10-24 13:39:41,475 - [INFO] - 步骤 1: 初始化投标优化模型...
2025-10-24 13:39:41,476 - [INFO] - 步驟 2: 執行神經動力學自適應網格投標策略優化...
2025-10-24 13:39:41,476 - [INFO] - --- 開始執行神經動力學自適應網格投標策略優化（模式: full）---
2025-10-24 13:39:41,490 - [INFO] - ✅ 数据输入配置:
2025-10-24 13:39:41,490 - [INFO] -   DAM（日前市场）: 'ensemble' (预测输出)
2025-10-24 13:39:41,491 - [INFO] -   RTM（实时市场）: 'actual' (ensemble预测)
2025-10-24 13:39:41,491 - [INFO] - ✅ 价格数据加载完成:
2025-10-24 13:39:42,608 - [INFO] - 檢測到門檻區域: (355.0, 356.0), P_DA變化: 100.0 -> 12.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (357.0, 358.0), P_DA變化: 13.4 -> 100.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (358.0, 359.0), P_DA變化: 100.0 -> 0.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (359.0, 360.0), P_DA變化: 0.0 -> 19.6 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (361.0, 362.0), P_DA變化: 0.0 -> 9.2 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (365.0, 366.0), P_DA變化: 0.0 -> 25.3 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (369.0, 370.0), P_DA變化: 0.0 -> 26.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (371.0, 372.0), P_DA變化: 0.0 -> 100.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (372.0, 373.0), P_DA變化: 100.0 -> 0.0 MW
2025-10-24 13:39:42,609 - [INFO] - 檢測到門檻區域: (373.0, 374.0), P_DA變化: 0.0 -> 52.4 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (374.0, 375.0), P_DA變化: 52.4 -> 0.0 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (378.0, 379.0), P_DA變化: 0.0 -> 19.3 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (383.0, 384.0), P_DA變化: 0.0 -> 100.0 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (384.0, 385.0), P_DA變化: 100.0 -> 10.0 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (385.0, 386.0), P_DA變化: 10.0 -> 100.0 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (388.0, 389.0), P_DA變化: 100.0 -> 41.2 MW
2025-10-24 13:39:42,610 - [INFO] - 檢測到門檻區域: (389.0, 390.0), P_DA變化: 41.2 -> 100.0 MW
2025-10-24 13:39:42,610 - [INFO] - 第三步：多层次細化 18 個門檻區域
2025-10-24 13:39:42,610 - [INFO] -   第一层细化：步长 0.2 元
